src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors,Created,Updated
qlp,388624270,01026.01,PC,125.434278,-51.759418,9.881,0.018,1528.41766,0.00143,,,7.841,0.388,8060.0,85.1129,9,2019-06-11 14:45:00.567218+00:00,2019-07-26 20:17:26.639124+00:00
qlp,384549882,01048.01,PC,136.527779,-54.903934,8.733,0.036,1518.376,0.00075,0.30412,1e-05,0.748,0.1,1410.0,5.32593,9,2019-06-11 14:45:05.150088+00:00,2019-07-26 17:07:12.514574+00:00
qlp,90448944,01043.01,PC,128.302381,-52.714213,9.491,0.018,1518.26924,0.00459,1.44095,0.00021,2.107,0.513,490.0,1.39529,9,2019-06-11 14:45:05.500424+00:00,2019-07-26 13:39:22.181915+00:00
qlp,310483807,01040.01,PC,128.61434,-61.488277,8.339,0.018,1520.65674,0.00497,2.55555,0.00045,1.566,0.375,340.0,1.71408,9,2019-06-11 14:45:05.450169+00:00,2019-07-26 13:39:22.130499+00:00
qlp,20318757,01027.01,PC,167.133695,-29.653177,10.179,0.018,1547.16357,0.00324,3.28627,0.00084,1.815,0.461,1480.0,29.9231,9,2019-06-11 14:45:01.265941+00:00,2019-07-26 13:39:22.104525+00:00
qlp,363260203,01037.01,PC,147.385346,-63.306557,8.996,0.02,1544.66679,0.00691,1.20262,0.00056,1.915,0.488,370.0,1.68857,9,2019-06-11 14:44:59.675281+00:00,2019-07-26 13:39:22.078845+00:00
qlp,149601557,01033.01,PC,87.282463,-60.49859,9.971,0.018,1338.0781,0.00441,29.01509,0.0009,6.362,0.86,2000.0,3.26177,10 9 8,2019-06-11 14:45:00.284260+00:00,2019-07-26 13:39:22.025681+00:00
qlp,361413119,01035.01,PC,144.150348,-61.583256,10.063,0.019,1545.78502,0.00141,6.07484,0.00075,2.324,0.315,6160.0,16.5424,9,2019-06-11 14:45:04.841706+00:00,2019-07-26 13:39:21.998461+00:00
qlp,146172354,01036.01,PC,157.867029,-42.240189,10.261,0.018,1548.03403,0.00186,3.78031,0.00054,3.188,0.392,2350.0,2.29812,9,2019-06-11 14:45:04.524562+00:00,2019-07-26 13:39:21.960118+00:00
qlp,447283466,01028.01,PC,157.09813,-51.705257,7.832,0.019,1544.48066,0.00412,1.01606,0.00034,2.843,0.278,400.0,0.852004,9,2019-06-11 14:45:03.001774+00:00,2019-07-26 13:39:21.933409+00:00
qlp,238374636,01023.01,PC,120.837856,-51.345744,9.651,0.02,1493.2055,0.00061,1.3238,2e-05,3.162,0.024,3450.0,221.188,9,2019-06-11 14:45:02.669409+00:00,2019-07-26 13:39:21.906636+00:00
qlp,54044474,01045.01,PC,159.887888,-32.511956,9.619,0.018,1545.92248,0.00053,3.70426,0.00015,4.08,0.059,7440.0,0.486076,9,2019-06-11 14:44:59.450101+00:00,2019-07-26 13:39:21.879740+00:00
qlp,297967252,01025.01,PC,142.521292,-51.51717,5.573,0.035,1545.14728,0.00122,9.68337,0.00093,2.353,0.084,3400.0,100.0,9,2019-06-11 14:44:59.322679+00:00,2019-07-26 13:39:21.852633+00:00
